NAME                                                                           VERSION                                        TYPE                            
add-filename-increment                                                         1.0.0                                          npm                             
adduser                                                                        3.137ubuntu1                                   deb                             
adwaita-icon-theme                                                             41.0-1ubuntu1                                  deb                             
agent-base                                                                     6.0.2                                          npm                             
agentkeepalive                                                                 4.2.1                                          npm                             
aggregate-error                                                                3.1.0                                          npm                             
ajv                                                                            6.12.6                                         npm                             
ajv-keywords                                                                   3.5.2                                          npm                             
ansi-escapes                                                                   4.3.1                                          npm                             
ansi-gray                                                                      0.1.1                                          npm                             
ansi-regex                                                                     5.0.1                                          npm                             
ansi-styles                                                                    6.2.1                                          npm                             
ansi-wrap                                                                      0.1.0                                          npm                             
anymatch                                                                       3.1.3                                          npm                             
apipkg                                                                         2.0.0                                          python                          
appdirs                                                                        1.4.4                                          python                          
append-transform                                                               2.0.0                                          npm                             
aproba                                                                         2.0.0                                          npm                             
apt                                                                            2.7.3ubuntu0.1                                 deb                             
apt-utils                                                                      2.7.3ubuntu0.1                                 deb                             
archy                                                                          1.0.0                                          npm                             
are-we-there-yet                                                               3.0.1                                          npm                             
argon2-cffi                                                                    21.1.0                                         python                          
argparse                                                                       2.0.1                                          npm                             
array.prototype.every                                                          1.1.3                                          npm                             
array.prototype.find                                                           2.2.1                                          npm                             
array.prototype.flatmap                                                        1.3.0                                          npm                             
arrify                                                                         2.0.1                                          npm                             
assert                                                                         2.0.0                                          npm                             
astral-regex                                                                   2.0.0                                          npm                             
asttokens                                                                      2.2.1                                          python                          
async                                                                          0.8.0                                          npm                             
async-each                                                                     1.0.3                                          npm                             
async-listen                                                                   1.2.0                                          npm                             
asyncro                                                                        3.0.0                                          npm                             
at-spi2-common                                                                 2.50.0-1                                       deb                             
attrs                                                                          23.1.0                                         python                          
autoconf                                                                       2.71-3                                         deb                             
automake                                                                       1:1.16.5-1.3                                   deb                             
autotools-dev                                                                  20220109.1                                     deb                             
available-typed-arrays                                                         1.0.5                                          npm                             
avr-libc                                                                       1:2.0.0+Atmel3.6.2-4                           deb                             
babel-check-duplicated-nodes                                                   1.0.0                                          npm                             
babel-plugin-add-module-exports                                                1.0.4                                          npm                             
babel-plugin-dynamic-import-node                                               2.3.3                                          npm                             
babel-plugin-istanbul                                                          6.1.1                                          npm                             
babel-plugin-jest-hoist                                                        29.5.0                                         npm                             
babel-plugin-lodash                                                            3.3.4                                          npm                             
babel-plugin-mamacro                                                           0.0.7                                          npm                             
babel-plugin-polyfill-corejs2                                                  0.3.3                                          npm                             
babel-plugin-polyfill-corejs3                                                  0.6.0                                          npm                             
babel-plugin-polyfill-regenerator                                              0.4.1                                          npm                             
babel-plugin-transform-charcodes                                               0.2.0                                          npm                             
babel-plugin-transform-replace-object-assign                                   2.0.0                                          npm                             
babel-preset-airbnb                                                            5.0.0                                          npm                             
babel-preset-current-node-syntax                                               1.0.1                                          npm                             
babel-preset-jest                                                              29.5.0                                         npm                             
babel-preset-moxy                                                              3.2.0                                          npm                             
backcall                                                                       0.2.0                                          python                          
balanced-match                                                                 2.0.0                                          npm                             
base-files                                                                     13ubuntu2.1                                    deb                             
base-passwd                                                                    3.6.1                                          deb                             
base64                                                                         0.1.1                                          gem                             
base64-js                                                                      1.5.1                                          npm                             
bash                                                                           5.2.15-2ubuntu1                                deb                             
beautifulsoup4                                                                 4.12.2                                         python                          
benchmark                                                                      0.2.0                                          gem                             
beniget                                                                        0.4.1                                          python                          
bigdecimal                                                                     3.1.1                                          gem                             
bin                                                                            1.0.0                                          npm                             
bin-links                                                                      4.0.1                                          npm                             
binary-extensions                                                              2.2.0                                          npm                             
binary-search                                                                  1.3.6                                          npm                             
binutils                                                                       2.41-5ubuntu1                                  deb                             
binutils-avr                                                                   2.26.20160125+Atmel3.6.2-8                     deb                             
binutils-common                                                                2.41-5ubuntu1                                  deb                             
binutils-x86-64-linux-gnu                                                      2.41-5ubuntu1                                  deb                             
bleach                                                                         6.0.0                                          python                          
blinker                                                                        1.6.2                                          python                          
blt                                                                            2.5.3+dfsg-4.1build2                           deb                             
brace-expansion                                                                2.0.1                                          npm                             
braces                                                                         3.0.2                                          npm                             
brotli                                                                         1.0.9                                          python                          
browserslist                                                                   4.21.4                                         npm                             
bsdextrautils                                                                  2.39.1-4ubuntu2.2                              deb                             
bsdutils                                                                       1:2.39.1-4ubuntu2.2                            deb                             
bufferstreams                                                                  3.0.0                                          npm                             
build-essential                                                                12.10ubuntu1                                   deb                             
builtins                                                                       5.0.1                                          npm                             
bun                                                                            1.2.10                                         npm                             
bundler                                                                        2.3.7                                          gem                             
busboy                                                                         1.6.0                                          npm                             
bytecode                                                                       0.14.2                                         python                          
bzip2                                                                          1.0.8-5build1                                  deb                             
ca-certificates                                                                20230311ubuntu1                                deb                             
ca-certificates-java                                                           20230710                                       deb                             
ca-certificates-java                                                           UNKNOWN                                        java-archive                    
cabal-install                                                                  3.4.1.0-3                                      deb                             
cacache                                                                        17.0.3                                         npm                             
cacheable-lookup                                                               6.1.0                                          npm                             
cacheable-request                                                              7.0.2                                          npm                             
caching-transform                                                              4.0.0                                          npm                             
call-bind                                                                      1.0.2                                          npm           (+1 duplicate)    
callsites                                                                      3.1.0                                          npm                             
camelcase                                                                      7.0.0                                          npm                             
caniuse-lite                                                                   1.0.30001436                                   npm                             
cargo                                                                          1.75.0+dfsg0ubuntu1~bpo10-0ubuntu0.23.10       deb                             
certifi                                                                        2022.9.24                                      python                          
cgi                                                                            0.3.5                                          gem                             
chalk                                                                          5.2.0                                          npm                             
char-regex                                                                     1.0.2                                          npm                             
charcodes                                                                      0.2.0                                          npm                             
chardet                                                                        5.1.0                                          python                          
chokidar                                                                       3.5.3                                          npm                             
chownr                                                                         2.0.0                                          npm                             
chrome-trace-event                                                             1.0.3                                          npm                             
ci-info                                                                        3.6.1                                          npm                             
cidr-regex                                                                     3.1.1                                          npm                             
cjs-module-lexer                                                               1.2.2                                          npm                             
clang                                                                          1:16.0-57                                      deb                             
clang-16                                                                       1:16.0.6-15                                    deb                             
clang-tools                                                                    1:16.0-57                                      deb                             
clang-tools-16                                                                 1:16.0.6-15                                    deb                             
clean-stack                                                                    3.0.1                                          npm                             
cli-columns                                                                    4.0.0                                          npm                             
cli-table                                                                      0.3.11                                         npm                             
cli-table2                                                                     0.2.0                                          npm                             
cli-table3                                                                     0.6.1                                          npm                             
cliui                                                                          7.0.4                                          npm                             
clone                                                                          2.1.2                                          npm                             
clone-deep                                                                     4.0.1                                          npm                             
clone-response                                                                 1.0.3                                          npm                             
cloud.google.com/go                                                            v0.102.1                                       go-module                       
cloud.google.com/go/compute                                                    v1.7.0                                         go-module                       
cloud.google.com/go/logging                                                    v1.4.2                                         go-module                       
cmake                                                                          3.27.4-1                                       deb                             
cmake-data                                                                     3.27.4-1                                       deb                             
cmd-shim                                                                       6.0.0                                          npm                             
cmd/addr2line                                                                  UNKNOWN                                        go-module                       
cmd/asm                                                                        UNKNOWN                                        go-module                       
cmd/buildid                                                                    UNKNOWN                                        go-module                       
cmd/cgo                                                                        UNKNOWN                                        go-module                       
cmd/compile                                                                    UNKNOWN                                        go-module                       
cmd/covdata                                                                    UNKNOWN                                        go-module                       
cmd/cover                                                                      UNKNOWN                                        go-module                       
cmd/dist                                                                       UNKNOWN                                        go-module                       
cmd/distpack                                                                   UNKNOWN                                        go-module                       
cmd/doc                                                                        UNKNOWN                                        go-module                       
cmd/fix                                                                        UNKNOWN                                        go-module                       
cmd/go                                                                         UNKNOWN                                        go-module                       
cmd/gofmt                                                                      UNKNOWN                                        go-module                       
cmd/link                                                                       UNKNOWN                                        go-module                       
cmd/nm                                                                         UNKNOWN                                        go-module                       
cmd/objdump                                                                    UNKNOWN                                        go-module                       
cmd/pack                                                                       UNKNOWN                                        go-module                       
cmd/pprof                                                                      UNKNOWN                                        go-module                       
cmd/test2json                                                                  UNKNOWN                                        go-module                       
cmd/trace                                                                      UNKNOWN                                        go-module                       
cmd/vet                                                                        UNKNOWN                                        go-module                       
code.cloudfoundry.org/clock                                                    v1.0.0                                         go-module                       
codemirror                                                                     5.65.0                                         npm                             
color-convert                                                                  2.0.1                                          npm                             
color-name                                                                     1.1.4                                          npm                             
color-support                                                                  1.1.3                                          npm                             
colorette                                                                      2.0.19                                         npm                             
colors                                                                         1.4.0                                          npm                             
columnify                                                                      1.6.0                                          npm                             
comm                                                                           0.1.2                                          python                          
commander                                                                      9.4.1                                          npm                             
common-ancestor-path                                                           1.0.1                                          npm                             
commondir                                                                      1.0.1                                          npm                             
concat-stream                                                                  2.0.0                                          npm                             
console-control-strings                                                        1.1.0                                          npm                             
containerd                                                                     1.7.12-0ubuntu2~23.10.1                        deb                             
contourpy                                                                      1.0.7                                          python                          
convert-source-map                                                             1.9.0                                          npm                             
copy-concurrently                                                              1.0.5                                          npm                             
core-js                                                                        3.26.1                                         npm                             
core-js-compat                                                                 3.26.1                                         npm                             
core-js-pure                                                                   3.26.1                                         npm                             
core-util-is                                                                   1.0.3                                          npm                             
coreutils                                                                      9.1-1ubuntu2.23.10.1                           deb                             
coverage                                                                       7.2.7                                          python                          
cpp                                                                            4:13.2.0-1ubuntu1                              deb                             
cpp-13                                                                         13.2.0-4ubuntu3                                deb                             
cryptography                                                                   38.0.4                                         python        (+1 duplicate)    
css-loader                                                                     6.7.2                                          npm                             
css-selector-tokenizer                                                         0.8.0                                          npm                             
cssesc                                                                         3.0.0                                          npm                             
csv                                                                            3.2.2                                          gem                             
curl                                                                           8.2.1-1ubuntu3.3                               deb                             
cycler                                                                         0.11.0                                         python                          
d3-pprof                                                                       2.0.0                                          npm                             
dario.cat/mergo                                                                v1.0.0                                         go-module                       
dash                                                                           0.5.12-6ubuntu1                                deb                             
data-uri-to-buffer                                                             4.0.0                                          npm                             
date                                                                           3.2.2                                          gem                             
dbus                                                                           1.14.10-1ubuntu1                               deb                             
dbus-bin                                                                       1.14.10-1ubuntu1                               deb                             
dbus-daemon                                                                    1.14.10-1ubuntu1                               deb                             
dbus-python                                                                    1.3.2                                          python                          
dbus-session-bus-common                                                        1.14.10-1ubuntu1                               deb                             
dbus-system-bus-common                                                         1.14.10-1ubuntu1                               deb                             
dbus-user-session                                                              1.14.10-1ubuntu1                               deb                             
dconf-gsettings-backend                                                        0.40.0-4                                       deb                             
dconf-service                                                                  0.40.0-4                                       deb                             
debconf                                                                        1.5.82                                         deb                             
debianutils                                                                    5.8-1                                          deb                             
debug                                                                          1.4.0                                          gem                             
debug                                                                          4.3.4                                          npm                             
debugpy                                                                        1.6.7                                          python                          
decamelize                                                                     4.0.0                                          npm                             
decompress-response                                                            6.0.0                                          npm                             
decorator                                                                      5.1.1                                          python                          
dedent                                                                         0.7.0                                          npm                             
deep-equal                                                                     2.1.0                                          npm                             
deep-is                                                                        0.1.4                                          npm                             
default-require-extensions                                                     3.0.0                                          npm                             
defaults                                                                       1.0.4                                          npm                             
defer-to-connect                                                               2.0.1                                          npm                             
define-properties                                                              1.1.4                                          npm                             
defined                                                                        1.0.1                                          npm                             
defusedxml                                                                     0.7.1                                          python                          
del                                                                            7.0.0                                          npm                             
delegate                                                                       0.2.0                                          gem                             
delegates                                                                      1.0.0                                          npm                             
depd                                                                           2.0.0                                          npm                             
did_you_mean                                                                   1.6.1                                          gem                             
diff                                                                           5.0.0                                          npm                             
diffutils                                                                      1:3.8-4                                        deb                             
digest                                                                         3.1.0                                          gem                             
dir-glob                                                                       3.0.1                                          npm                             
distro                                                                         1.8.0                                          python                          
distro-info-data                                                               0.58ubuntu0.3                                  deb                             
docker                                                                         5.0.3                                          python                          
docker-compose                                                                 1.29.2                                         python                          
docker-compose                                                                 1.29.2-6                                       deb                             
docker.io                                                                      24.0.7-0ubuntu2~23.10.1                        deb                             
dockerpty                                                                      0.4.1                                          python                          
docopt                                                                         0.6.2                                          python                          
doctrine                                                                       3.0.0                                          npm                             
dotignore                                                                      0.1.2                                          npm                             
dpkg                                                                           1.22.0ubuntu1.1                                deb                             
dpkg-dev                                                                       1.22.0ubuntu1.1                                deb                             
drb                                                                            2.1.0                                          gem                             
e2fsprogs                                                                      1.47.0-2ubuntu1                                deb                             
electron-to-chromium                                                           1.4.284                                        npm                             
elfutils                                                                       0.189-4                                        deb                             
emoji-regex                                                                    9.2.2                                          npm                             
encoding                                                                       0.1.13                                         npm                             
end-of-stream                                                                  1.4.4                                          npm                             
english                                                                        0.7.1                                          gem                             
enhanced-resolve                                                               5.10.0                                         npm                             
ensure-posix-path                                                              1.1.1                                          npm                             
entrypoints                                                                    0.4                                            python                          
env-paths                                                                      2.2.1                                          npm                             
envinfo                                                                        7.8.0                                          npm                             
erb                                                                            2.2.3                                          gem                             
err-code                                                                       2.0.3                                          npm                             
errno                                                                          1.0.0                                          npm                             
error-ex                                                                       1.3.2                                          npm                             
error_highlight                                                                0.3.0                                          gem                             
es-abstract                                                                    1.20.4                                         npm                             
es-get-iterator                                                                1.1.2                                          npm                             
es-module-lexer                                                                1.1.0                                          npm                             
es-shim-unscopables                                                            1.0.0                                          npm                             
es-to-primitive                                                                1.2.1                                          npm                             
es-value-fixtures                                                              1.4.2                                          npm                             
es6-error                                                                      4.1.1                                          npm                             
es6-object-assign                                                              1.1.0                                          npm                             
escalade                                                                       3.1.1                                          npm                             
escape-string-regexp                                                           4.0.0                                          npm                             
escodegen                                                                      2.0.0                                          npm                             
eslint                                                                         6.4.0                                          npm                             
eslint                                                                         6.4.0~dfsg+~6.1.9-7                            deb                             
eslint-config-eslint                                                           5.0.1                                          npm                             
eslint-plugin-webassembly                                                      1.11.3                                         npm                             
eslint-scope                                                                   7.1.1                                          npm                             
eslint-utils                                                                   3.0.0                                          npm                             
eslint-visitor-keys                                                            3.3.0                                          npm                             
espree                                                                         9.4.1                                          npm                             
esprima                                                                        4.0.1                                          npm                             
esquery                                                                        1.4.2                                          npm                             
esrecurse                                                                      4.3.0                                          npm                             
